status,path,disposition,target,reason
"M","components/contact.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"A","components/crudForm.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"A","components/dataUpdate.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"A","components/dateInput.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"M","components/directory.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"M","components/featured.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"M","components/filters.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"M","components/footer.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"A","components/footer.module.css","extract-with-review","apps/admin","Used by cms, but should not replace the production public footer automatically."
"A","components/footer3.js","discard","none","Unused/generated footer variants; footer32 is the variant imported by cms."
"A","components/footer31.js","discard","none","Unused/generated footer variants; footer32 is the variant imported by cms."
"A","components/footer32.js","extract-with-review","apps/admin","Used by cms, but should not replace the production public footer automatically."
"A","components/imageDelete.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"A","components/imageUpload.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"M","components/layout.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"A","components/mappedRange.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"M","components/newArrivalList.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"M","components/pagetitle1.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"A","components/priceInput.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"M","components/productPage.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"A","components/schemaCatalog.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"A","components/schemaForm.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"A","components/schemaProductPage.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"M","components/searchby.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"M","components/shopSuggestions.js","split-public-and-admin","apps/public + apps/admin/packages","Shared-looking component contains divergent presentation or admin behavior; retain main for public and extract only reusable/admin portions from cms."
"D","components/staff.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
"A","components/tabNav.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"D","components/titleCrest.js","keep-main","apps/public","Public component was deleted on cms; production remains authoritative."
"A","components/toolbar.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"A","components/wikiLink.js","extract-admin","apps/admin","Administrative UI or workflow capability used by the active cms deployment."
"A","hooks/useDraftItem.js","extract-then-replace-storage","apps/admin/packages/domain","Daily admin draft/slug behavior must be retained, then converted from localStorage to database-backed state."
"A","hooks/useSlugPreview.js","extract-then-replace-storage","apps/admin/packages/domain","Daily admin draft/slug behavior must be retained, then converted from localStorage to database-backed state."
"M","next.config.js","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"M","package-lock.json","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"M","package.json","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"M","pages/_app.js","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"M","pages/_document.js","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"D","pages/about-us.js","keep-main","apps/public","Production public route or compatibility redirect was removed only on cms."
"M","pages/about.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"A","pages/api/addCigar.js","discard","none","Endpoint does not persist data and incorrectly imports React hooks."
"A","pages/api/commits.js","replace-github-integration","apps/admin/packages/database","GitHub commit/file/issue transport is superseded by Neon publishing and audit history."
"A","pages/api/deleteImage.js","retire-duplicate","none","Overlaps pages/api/images.js and should not survive consolidation."
"A","pages/api/files/[...path].js","replace-github-integration","apps/admin/packages/database","GitHub commit/file/issue transport is superseded by Neon publishing and audit history."
"A","pages/api/getCommits.js","replace-github-integration","apps/admin/packages/database","GitHub commit/file/issue transport is superseded by Neon publishing and audit history."
"A","pages/api/getIssue.js","replace-github-integration","apps/admin/packages/database","GitHub commit/file/issue transport is superseded by Neon publishing and audit history."
"A","pages/api/images.js","extract-and-consolidate","apps/admin","Active Vercel Blob endpoint; becomes the single authorized image API."
"A","pages/api/uploadImage.js","retire-duplicate","none","Overlaps pages/api/images.js and should not survive consolidation."
"M","pages/caffeine/index.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"M","pages/caffeine/origins.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"M","pages/caffeine/roasts.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"D","pages/cigar-page.js","keep-main","apps/public","Production public route or compatibility redirect was removed only on cms."
"A","pages/cigars/[slug]/delete.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"A","pages/cigars/[slug]/edit.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"M","pages/cigars/[slug]/index.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"A","pages/cigars/add.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"A","pages/cigars/barcodeSearch.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"M","pages/cigars/brands.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"A","pages/cigars/dense.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"A","pages/cigars/editnew/[slug].js","extract-admin","apps/admin","Actively used administrative route or workflow."
"M","pages/cigars/index.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"M","pages/cigars/sizes.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"M","pages/cigars/strengths.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"D","pages/contact-us.js","keep-main","apps/public","Production public route or compatibility redirect was removed only on cms."
"M","pages/contact.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"A","pages/export.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"M","pages/index.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"D","pages/pipes-pipe-tabacco.js","keep-main","apps/public","Production public route or compatibility redirect was removed only on cms."
"A","pages/pipes/[slug].js","review-public-enhancement","apps/public","CMS branch adds a public pipe detail route; pipe administration is deferred."
"M","pages/pipes/brands.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"M","pages/pipes/index.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"M","pages/pipes/materials.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"M","pages/pipes/types.js","keep-main-public-review-cms","apps/public","Public route changed on cms; main remains production baseline and cms changes require selective review."
"D","pages/premium-cigars.js","keep-main","apps/public","Production public route or compatibility redirect was removed only on cms."
"M","pages/style.css","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"A","pages/submit.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"D","pages/tobacco/[slug].js","keep-main","apps/public","Production public route or compatibility redirect was removed only on cms."
"A","pages/tobacco/[slug]/delete.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"A","pages/tobacco/[slug]/edit.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"A","pages/tobacco/[slug]/index.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"A","pages/tobacco/add.js","extract-admin","apps/admin","Actively used administrative route or workflow."
"M","pages/tobacco/brands.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"A","pages/tobacco/editnew/[slug].js","extract-admin","apps/admin","Actively used administrative route or workflow."
"M","pages/tobacco/index.js","split-public-and-admin","apps/public + apps/admin","Keep production public behavior from main while extracting catalog management behavior from cms."
"M","postcss.config.js","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"A","public/a_a_a.mp3","discard-unreferenced","none","No source reference found in the cms branch."
"A","public/areyousure.jpg","discard-unreferenced","none","No source reference found in the cms branch."
"A","public/areyousure.mp3","extract-admin","apps/admin/public","Referenced by the active submit confirmation workflow."
"D","public/arturo-fuente-stack.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"D","public/chupa-cabras.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"A","public/data/broken-cigars.json","archive-diagnostic-fixture","migration-fixtures","Diagnostic dataset, not an authoritative runtime catalog."
"M","public/data/caffeine.json","keep-main","migration-fixtures/apps/public","CMS copy deletes three products; main production data remains authoritative."
"A","public/data/cigar-fields.json","extract-domain-schema","packages/domain","Administrative validation/form metadata should seed the canonical domain model."
"A","public/data/cigar.schema.json","extract-domain-schema","packages/domain","Administrative validation/form metadata should seed the canonical domain model."
"A","public/data/cigar.ui.schema.json","extract-domain-schema","packages/domain","Administrative validation/form metadata should seed the canonical domain model."
"A","public/data/tobacco.ui.schema.json","extract-domain-schema","packages/domain","Administrative validation/form metadata should seed the canonical domain model."
"D","public/double-ligeros.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"D","public/humidor-side.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"A","public/icons/commit.svg","extract-with-review","apps/admin/public","Admin-specific icon; retain if still used after navigation redesign."
"D","public/premium-cigars.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"M","public/sitemap-0.xml","regenerate","apps/public","Generated sitemap output should not be reconciled by hand."
"D","public/tobacco-jars.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"D","public/tobacco-tins.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"D","public/website-bg.jpg","keep-main","apps/public/public","Production asset was deleted only on cms and is referenced by public presentation."
"A","scripts/apply-schema-defaults.js","archive-or-defer","developer-tooling","Developer-side catalog tooling is outside the runtime migration and is not part of the daily web admin workflow."
"M","tailwind.config.js","rebuild-for-monorepo","root/apps","Configuration must be reconciled when public and admin become separate workspaces."
"A","utils/ensureClientIds.js","extract-then-replace-storage","apps/admin/packages/domain","Active legacy Git/localStorage workflow; behavior is retained while implementation moves to Neon."
"A","utils/mergeData.js","extract-then-replace-storage","apps/admin/packages/domain","Active legacy Git/localStorage workflow; behavior is retained while implementation moves to Neon."
"A","utils/resetData.js","extract-then-replace-storage","apps/admin/packages/domain","Active legacy Git/localStorage workflow; behavior is retained while implementation moves to Neon."
"A","utils/schemaMapper.js","extract-shared-domain","packages/domain","Reusable form/domain behavior used by the admin interface."
"A","utils/setLocalData.js","extract-then-replace-storage","apps/admin/packages/domain","Active legacy Git/localStorage workflow; behavior is retained while implementation moves to Neon."
"A","utils/suggestions.js","extract-shared-domain","packages/domain","Reusable form/domain behavior used by the admin interface."

